,miss_M_pct,miss_F_pct,diff_FminusM,mean_miss
tooth_07_sealant,66.56,69.24,2.68,67.9
skin_freckles,67.5,68.23,0.73,67.87
sub_fasting_weight,67.9,66.69,-1.21,67.3
fs_hh_ate_less_12mo,67.52,67.07,-0.45,67.29
fs_hh_cut_meals_12mo,67.52,67.07,-0.45,67.29
fs_hh_hungry_not_eat_12mo,67.52,67.07,-0.45,67.29
fs_hh_weight_loss_food_12mo,67.52,67.07,-0.45,67.29
occ_hours_worked_last_week,64.64,69.53,4.89,67.09
oh_worry_teeth_num,65.82,67.87,2.05,66.84
cs_phantom_taste,67.3,65.68,-1.62,66.49
cs_taste_duration,67.3,65.68,-1.62,66.49
cs_taste_loss_cause,67.3,65.66,-1.64,66.48
cs_taste_current,67.26,65.62,-1.64,66.44
oh_teeth_appearance_self,65.32,67.54,2.22,66.43
cs_self_report_taste_problem,67.22,65.58,-1.64,66.4
occ_class_worker,68.04,64.35,-3.69,66.19
occ_longest_job_years,63.52,68.72,5.2,66.12
occ_longest_kind_of_work,63.52,68.72,5.2,66.12
pf_difficulty_physical_activities,64.78,67.15,2.37,65.96
oh_worry_teeth_freq,64.78,67.15,2.37,65.96
sx_ever_genital_herpes,66.38,65.24,-1.14,65.81
sx_ever_genital_warts,66.38,65.24,-1.14,65.81
sx_ever_chlamydia_told,66.38,65.24,-1.14,65.81
sx_ever_trichomoniasis_told,66.38,65.24,-1.14,65.81
cs_smell_onion,66.44,64.42,-2.02,65.43
cs_smell_natural_gas,66.44,64.42,-2.02,65.43
cs_smell_grape,66.44,64.42,-2.02,65.43
cs_smell_soap,66.44,64.4,-2.04,65.42
cs_smell_leather,66.44,64.4,-2.04,65.42
cs_smell_smoke,66.44,64.35,-2.09,65.4
cs_smell_strawberry,66.42,64.33,-2.09,65.38
cs_smell_chocolate,66.42,64.29,-2.13,65.36
bmi_category_child,64.14,66.57,2.43,65.35
cs_taste_effort,66.3,64.21,-2.09,65.26
cs_self_report_smell_problem,66.22,63.9,-2.32,65.06
alc_days_drink_past_year_unit,62.78,66.53,3.75,64.66
alc_days_5plus_past_year_num,62.76,66.51,3.75,64.64
alc_avg_drinks_per_drinking_day,62.76,66.49,3.73,64.62
phq9_difficulty_doing_work,68.14,59.78,-8.36,63.96
hsv1_antibody,64.78,63.13,-1.65,63.96
oh_gentle_brush_days_per_week,66.74,61.0,-5.74,63.87
oh_rinse_days_per_week,66.74,61.0,-5.74,63.87
oh_floss_days_per_week,66.74,61.0,-5.74,63.87
drug_marijuana_ever,64.08,63.19,-0.89,63.64
cs_exam_status,64.92,62.24,-2.68,63.58
ec_mom_smoked_in_pregnancy,61.8,65.22,3.42,63.51
ec_age_mom_at_birth,61.8,65.22,3.42,63.51
ec_birth_weight_lb,61.8,65.22,3.42,63.51
fs_food_stamp_authorized,63.58,62.78,-0.8,63.18
lobsters_past30d,63.94,62.16,-1.78,63.05
crayfish_past30d,63.94,62.16,-1.78,63.05
clams_past30d,63.94,62.16,-1.78,63.05
mussels_past30d,63.94,62.16,-1.78,63.05
oysters_past30d,63.94,62.16,-1.78,63.05
scallops_past30d,63.94,62.16,-1.78,63.05
shrimp_past30d,63.94,62.16,-1.78,63.05
other_shellfish_past30d,63.94,62.16,-1.78,63.05
unknown_shellfish_past30d,63.94,62.16,-1.78,63.05
crabs_past30d,63.94,62.16,-1.78,63.05
osteo_spine_fracture_ever,63.88,61.18,-2.7,62.53
osteo_wrist_fracture_ever,63.88,61.18,-2.7,62.53
osteo_other_bone_fx_after_20,63.88,61.18,-2.7,62.53
cs_problem_caused_weight_gain,63.88,61.18,-2.7,62.53
osteo_told_osteoporosis_ever,63.88,61.18,-2.7,62.53
osteo_prednisone_month_or_more,63.88,61.18,-2.7,62.53
osteo_parent_osteoporosis,63.88,61.18,-2.7,62.53
cs_smell_problem_persisting,63.88,61.18,-2.7,62.53
osteo_mother_hip_fracture,63.88,61.18,-2.7,62.53
osteo_father_hip_fracture,63.88,61.18,-2.7,62.53
cs_smell_problem_past_12mo,63.88,61.18,-2.7,62.53
cs_taste_phantom_salt,63.88,61.18,-2.7,62.53
cs_smell_problem_better_current,63.88,61.18,-2.7,62.53
rx_used_alt_med_past_30d,63.88,61.18,-2.7,62.53
cs_inability_smell_smoke,63.88,61.18,-2.7,62.53
cs_inability_smell_gas_leak,63.88,61.18,-2.7,62.53
audio_hearing_aid_used,63.88,61.18,-2.7,62.53
cs_unable_detect_spoiled_food,63.88,61.18,-2.7,62.53
audio_hearing_difficulty,63.88,61.18,-2.7,62.53
cv_chest_pain_ever,63.88,61.18,-2.7,62.53
cs_smell_problem_cause_cold,63.88,61.18,-2.7,62.53
cs_reduced_enjoyment_food,63.88,61.18,-2.7,62.53
cv_shortness_of_breath,63.88,61.18,-2.7,62.53
cs_allergy_hay_fever,63.88,61.18,-2.7,62.53
osteo_hip_fracture_ever,63.88,61.18,-2.7,62.53
cs_taste_problem_persisting,63.88,61.18,-2.7,62.53
cs_taste_phantom_sweet,63.88,61.18,-2.7,62.53
cs_taste_phantom_sour,63.88,61.18,-2.7,62.53
cs_taste_phantom_bitter,63.88,61.18,-2.7,62.53
cs_problem_started_during_pregnancy,63.88,61.18,-2.7,62.53
cs_hit_head_past_12mo,63.88,61.18,-2.7,62.53
cs_head_injury_knocked_out,63.88,61.18,-2.7,62.53
cs_problem_during_pregnancy,63.88,61.18,-2.7,62.53
sun_protection_wear_long_sleeves,62.72,61.02,-1.7,61.87
sun_protection_wear_sunscreen,62.72,61.02,-1.7,61.87
hiv_combo_ab_ag,62.78,60.36,-2.42,61.57
skin_reaction_sun_hour,62.36,60.48,-1.88,61.42
sun_protection_stay_shade,62.36,60.48,-1.88,61.42
sun_burn_severity,62.36,60.48,-1.88,61.42
urine_trimethylarsine_ugl,61.18,59.11,-2.07,60.14
water_fluoride_mgl,57.95,61.41,3.46,59.68
wh_weight_10yr_ago_lb,60.44,57.46,-2.98,58.95
age_months_at_exam,56.87,60.27,3.4,58.57
pf_physical_health_impairs,58.46,57.62,-0.84,58.04
db_milk_age_12_17,57.51,58.35,0.84,57.93
db_milk_age_5_12,57.51,58.35,0.84,57.93
db_milk_age_child_1_5,57.51,58.35,0.84,57.93
sx_age_first_sex,58.54,57.1,-1.44,57.82
oh_implants_present,58.46,56.67,-1.79,57.56
bp_chol_ever_high,58.25,54.8,-3.45,56.52
alc_ever_5plus_per_day_most_days,53.81,58.12,4.31,55.96
alc_days_drink_past_year_num,53.79,58.1,4.31,55.94
sx_ever_had_sex,56.13,54.93,-1.2,55.53
drug_needle_inject_ever,56.07,54.74,-1.33,55.4
drug_cocaine_heroin_meth_ever,56.07,54.72,-1.35,55.4
bp_told_to_take_chol_meds,57.93,51.37,-6.56,54.65
bp_chol_told_high_time,57.93,51.37,-6.56,54.65
smoke_other_indoor_exposure,52.11,53.58,1.47,52.84
inc_family_savings_range,53.31,52.18,-1.13,52.74
oh_oral_cancer_exam_ever,54.23,51.22,-3.01,52.72
oh_self_rated_dental_appearance,54.23,51.22,-3.01,52.72
oh_mouth_pain_past_year,54.23,51.22,-3.01,52.72
oh_mouth_problem_anxious,54.23,51.22,-3.01,52.72
oh_mouth_problem_depressed,54.23,51.22,-3.01,52.72
oh_avoid_foods_due_mouth,54.23,51.22,-3.01,52.72
oh_mouth_problem_avoid_people,54.23,51.22,-3.01,52.72
oh_mouth_problem_embarrass,54.23,51.22,-3.01,52.72
oh_avoid_smile_mouth,54.23,51.22,-3.01,52.72
oh_avoid_laughing_mouth,54.23,51.22,-3.01,52.72
oh_tongue_examined_ever,54.23,51.22,-3.01,52.72
oh_satisfied_with_smile,54.23,51.22,-3.01,52.72
ins_private,52.91,52.34,-0.57,52.62
wh_weight_age_25_lb,52.11,49.19,-2.92,50.65
oral_hpv_type_72,51.69,48.96,-2.73,50.32
oral_hpv_type_71,51.69,48.96,-2.73,50.32
oral_hpv_type_6,51.69,48.96,-2.73,50.32
oral_hpv_type_81,51.69,48.96,-2.73,50.32
oral_hpv_positive_control,51.69,48.96,-2.73,50.32
oral_hpv_type_84,51.69,48.96,-2.73,50.32
